time,type,asset,quantity,gas,chain,id,katanaTxId,katanaTxStatus,vaultName,vaultManagerAddress
2026-03-15T23:06:16.017Z,deposit,USDC,10.00000000,,katana.katana,91b05500-20c3-11f1-b591-f7432203fc42,0xb6143e3749fd48a67a76279261a26dc406a26fe58e2c725dba95623082d9ce02,,,
2026-03-17T17:08:36.016Z,deposit,USDC,2.00000000,,katana.katana,ef5b8bf0-2223-11f1-8640-1913262d1321,0xb989f6a73422c49b521f2162b6cb42247d30cf96a14bca2ad19f56ab07c0a17d,,,
2026-03-17T17:17:24.011Z,deposit,USDC,1.00000000,,stargate.berachain,2a1157b0-2225-11f1-8640-1913262d1321,0x052afa0ed4ff1210df5ebf8a66fcbad44b2a937e09bacb81083842f88bd8c248,,,
2026-03-18T21:57:46.012Z,deposit,USDC,2.00000000,,katana.katana,7f2c96b0-2315-11f1-802b-1fcb5dae34d1,0x4ff7ff7d12094abeddbe9bcdf7344ace62a9e767b1bd39892228203e6f060358,,,
2026-03-18T21:58:23.618Z,withdrawal,USDC,2.00000000,0.97260143,stargate.avalanche,95960bc0-2315-11f1-80db-83f0987b6c05,0x16a1d1b5a7b4615bcd41efaa1d44d07e3e03b7987932bc0a2cc641a2840a2608,mined,,
2026-03-18T22:04:44.013Z,deposit,USDC,0.99799900,,stargate.avalanche,78527ac0-2316-11f1-802b-1fcb5dae34d1,0xd9e3b7b465b9407aa8bfadaf86d8a70aa7cd01695880841d5b8c03dd1cfce509,,,
2026-03-23T16:50:26.011Z,deposit,USDC,1.00000000,,katana.walletBankroll,64247ba0-26d8-11f1-885b-87821a5024cb,0xd7792c68ab5c89061708431936a31936c23371fc7b4a0144311ca00b74f7b65c,,,
2026-03-23T20:05:32.013Z,deposit,USDC,1.00000000,,stargate.ethereum,a576c9d0-26f3-11f1-885b-87821a5024cb,0x8f1ff82304a74417c70e93c8844496cf94d3fe8fc7d5cc07eebad82ef86a98d1,,,
2026-03-23T20:36:16.012Z,deposit,USDC,0.99825900,,stargate.avalanche,f092b4c0-26f7-11f1-885b-87821a5024cb,0xef79520ce3481432e2c8e9eaa515174bfc1392c88d83e516bf36c5d3e852b167,,,
2026-03-23T20:36:36.011Z,deposit,USDC,1.00000000,,stargate.berachain,fc7e4fb0-26f7-11f1-885b-87821a5024cb,0xc7c03f7f310a3e3406b2de198a8b4aafad5d909cce25136bd3f13806882f564f,,,
2026-03-25T21:08:50.033Z,deposit,USDC,2.00000000,,katana.katana,d215b0e0-288e-11f1-9c46-21d5914251e3,0x31c314ca3f9ef6992bc8e96055da868f5a49c82aa128380a32a8c0dc6a43f849,,,
2026-04-07T20:04:07.574Z,withdrawal,USDC,20.11001200,0.05000000,katana.katana,ef53c100-32bc-11f1-b8c7-e9126f7b6e0b,0xd0e81db6424d7739008cfa90d077d40f255174355fb458a6a9dbce87675a489e,mined,,
2026-04-07T20:04:22.015Z,deposit,USDC,2.00000000,,katana.katana,f7f009e0-32bc-11f1-a3ad-2b06aa2ac435,0x97055e3ae5ded8b103f2a9280ea331506d606064ffe924cdcfc49d9cf860547b,,,
